[106]	validation_0-auc:0.869051	validation_1-auc:0.668994
[107]	validation_0-auc:0.869622	validation_1-auc:0.669277
[108]	validation_0-auc:0.870527	validation_1-auc:0.668918
[109]	validation_0-auc:0.871051	validation_1-auc:0.669162
[110]	validation_0-auc:0.87184	validation_1-auc:0.669169
[111]	validation_0-auc:0.872979	validation_1-auc:0.668989
[112]	validation_0-auc:0.873952	validation_1-auc:0.669005
[113]	validation_0-auc:0.874199	validation_1-auc:0.668953
[114]	validation_0-auc:0.875764	validation_1-auc:0.668442
[115]	validation_0-auc:0.876455	validation_1-auc:0.668508
[116]	validation_0-auc:0.877206	validation_1-auc:0.668246
[117]	validation_0-auc:0.877968	validation_1-auc:0.667958
[118]	validation_0-auc:0.878353	validation_1-auc:0.668122
[119]	validation_0-auc:0.878685	validation_1-auc:0.668075
[120]	validation_0-auc:0.879032	validation_1-auc:0.668025
[121]	validation_0-auc:0.879674	validation_1-auc:0.668052
[122]	validation_0-auc:0.880606	validation_1-auc:0.668016
[123]	validation_0-auc:0.881823	validation_1-auc:0.668079
[124]	validation_0-auc:0.883119	validation_1-auc:0.668222
[125]	validation_0-auc:0.883979	validation_1-auc:0.668105
[126]	validation_0-auc:0.885335	validation_1-auc:0.66821
[127]	validation_0-auc:0.886373	validation_1-auc:0.667958
[128]	validation_0-auc:0.887666	validation_1-auc:0.667634
[129]	validation_0-auc:0.888047	validation_1-auc:0.667596
[130]	validation_0-auc:0.888501	validation_1-auc:0.66733
[131]	validation_0-auc:0.889127	validation_1-auc:0.66732
[132]	validation_0-auc:0.890066	validation_1-auc:0.666948
[133]	validation_0-auc:0.890328	validation_1-auc:0.666879
[134]	validation_0-auc:0.890782	validation_1-auc:0.666912
[135]	validation_0-auc:0.891817	validation_1-auc:0.666703
[136]	validation_0-auc:0.892533	validation_1-auc:0.666529
[137]	validation_0-auc:0.893985	validation_1-auc:0.666536
[138]	validation_0-auc:0.894464	validation_1-auc:0.666679
[139]	validation_0-auc:0.895043	validation_1-auc:0.666533
[140]	validation_0-auc:0.895753	validation_1-auc:0.666688
[141]	validation_0-auc:0.896102	validation_1-auc:0.666941
[142]	validation_0-auc:0.896777	validation_1-auc:0.666898
[143]	validation_0-auc:0.898011	validation_1-auc:0.666678
[144]	validation_0-auc:0.898497	validation_1-auc:0.666468
[145]	validation_0-auc:0.898782	validation_1-auc:0.666482
[146]	validation_0-auc:0.899301	validation_1-auc:0.666239
[147]	validation_0-auc:0.899811	validation_1-auc:0.66614
[148]	validation_0-auc:0.899921	validation_1-auc:0.666287
[149]	validation_0-auc:0.900232	validation_1-auc:0.666201
[150]	validation_0-auc:0.901535	validation_1-auc:0.666242
[151]	validation_0-auc:0.902541	validation_1-auc:0.666316
[152]	validation_0-auc:0.903205	validation_1-auc:0.666271
[153]	validation_0-auc:0.903486	validation_1-auc:0.666313
[154]	validation_0-auc:0.90395	validation_1-auc:0.666177
[155]	validation_0-auc:0.904459	validation_1-auc:0.666139
[156]	validation_0-auc:0.905026	validation_1-auc:0.666276
[157]	validation_0-auc:0.905937	validation_1-auc:0.666252
[158]	validation_0-auc:0.9067	validation_1-auc:0.666315
[159]	validation_0-auc:0.907293	validation_1-auc:0.666581
[160]	validation_0-auc:0.907782	validation_1-auc:0.666598
[161]	validation_0-auc:0.908566	validation_1-auc:0.666477
[162]	validation_0-auc:0.908747	validation_1-auc:0.666528
[163]	validation_0-auc:0.909241	validation_1-auc:0.666648
[164]	validation_0-auc:0.909907	validation_1-auc:0.666646
[165]	validation_0-auc:0.910176	validation_1-auc:0.666561
[166]	validation_0-auc:0.910709	validation_1-auc:0.666251
[167]	validation_0-auc:0.911154	validation_1-auc:0.666243
[168]	validation_0-auc:0.912164	validation_1-auc:0.665901
[169]	validation_0-auc:0.912695	validation_1-auc:0.665801
[170]	validation_0-auc:0.913014	validation_1-auc:0.665799
[171]	validation_0-auc:0.913438	validation_1-auc:0.665647
[172]	validation_0-auc:0.913945	validation_1-auc:0.665447
[173]	validation_0-auc:0.914982	validation_1-auc:0.665337
[174]	validation_0-auc:0.915801	validation_1-auc:0.665108
[175]	validation_0-auc:0.916433	validation_1-auc:0.664944
[176]	validation_0-auc:0.917048	validation_1-auc:0.664692
[177]	validation_0-auc:0.917512	validation_1-auc:0.664746
[178]	validation_0-auc:0.917884	validation_1-auc:0.664671
[179]	validation_0-auc:0.918499	validation_1-auc:0.664578
[180]	validation_0-auc:0.918627	validation_1-auc:0.66435
[181]	validation_0-auc:0.918856	validation_1-auc:0.6643
[182]	validation_0-auc:0.919118	validation_1-auc:0.664099
[183]	validation_0-auc:0.919469	validation_1-auc:0.664288
[184]	validation_0-auc:0.919977	validation_1-auc:0.664251
[185]	validation_0-auc:0.920813	validation_1-auc:0.664001
